,price,area,latitude,longitude,Bedrooms,Bathrooms,neworold,type_of_building,Price_sqft,Furnished_status_Semi-Furnished,Furnished_status_Unfurnished
282,7800000.0,1295.0,28.542912592576,77.37203148936,2.0,2.0,Resale,Individual House,6023.166023166024,False,False
283,7000000.0,1820.0,28.6761797963942,77.3962820106621,3.0,3.0,Resale,Flat,3846.153846153846,False,False
284,3500000.0,800.0,28.687614,77.351924,2.0,2.0,Resale,Flat,4375.0,True,False
285,10800000.0,1895.0,28.508273,77.4089761622089,3.0,3.0,Resale,Flat,5699.208443271768,False,False
286,9200000.0,1000.0,28.60172462463379,77.31781005859375,2.0,2.0,Resale,Individual House,9200.0,False,False
287,10000000.0,1800.0,28.636091232299805,77.43346405029297,3.0,3.0,New Property,Flat,5555.555555555556,False,True
288,4800000.0,1487.0,28.4065234101184,77.3429934243275,3.0,2.0,Resale,Flat,3227.9757901815738,False,False
289,17500000.0,2400.0,28.397099,77.086716,3.0,3.0,Resale,Flat,7291.666666666667,False,False
290,13500000.0,2300.0,28.45518493652344,77.08667755126953,3.0,3.0,Resale,Flat,5869.565217391304,False,False
291,8500000.0,1545.0,28.4734678310178,77.5053685993689,3.0,3.0,Resale,Flat,5501.6181229773465,False,False
292,4500000.0,1000.0,28.496795654296875,77.228515625,2.0,2.0,Resale,Flat,4500.0,False,True
293,15800000.0,2300.0,28.4287815,77.0661409,3.0,3.0,Resale,Flat,6869.565217391304,True,False
294,32500000.0,1829.0,28.564027,77.1945069,3.0,3.0,Resale,Individual House,17769.27282668125,False,False
295,6900000.0,1362.0,28.650108,77.363755,3.0,3.0,Resale,Flat,5066.079295154185,False,False
296,9000000.0,1380.0,28.646286,77.406051,3.0,2.0,Resale,Flat,6521.739130434783,False,False
297,2500000.0,560.0,28.497602462768555,77.02706909179688,2.0,2.0,Resale,Flat,4464.285714285715,True,False
298,29500000.0,3000.0,28.469204,77.511335,4.0,4.0,Resale,Flat,9833.333333333334,False,False
299,2200000.0,900.0,28.738864,77.263605,2.0,2.0,Resale,Individual House,2444.4444444444443,False,False
